time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
61.73500000,0.00787614,3792,0.00001411,0.00000000,0,0.00000053,10506,10510,5,0.00139726
61.83500000,0.00786896,3780,0.00005317,0.00000000,0,0.00000045,10510,10499,15,0.00146039
61.93500000,0.00831099,3768,0.00003688,0.00000000,0,0.00000053,10499,10491,9,0.00148948
62.03500000,0.01170700,3777,0.00000874,0.00000000,0,0.00000080,10491,10491,5,0.00138825
62.13500000,0.00779030,3757,0.00001966,0.00000000,0,0.00000056,10491,10488,6,0.00135532
62.23500000,0.00808217,3778,0.00005123,0.00000000,0,0.00000047,10488,10486,16,0.00144454
62.33500000,0.00789019,3785,0.00005052,0.00000000,0,0.00000050,10486,10490,22,0.00220072
62.43500000,0.00875231,3772,0.00002577,0.00000000,0,0.00000055,10490,10490,7,0.00219863
62.53500000,0.00870065,3755,0.00000958,0.00000000,0,0.00000064,10490,10491,5,0.00167863
62.63500000,0.00838780,3784,0.00002058,0.00000000,0,0.00000057,10491,10490,4,0.00147325
62.73500000,0.00917550,3801,0.00010577,0.00000000,0,0.00000075,10490,10503,28,0.00151109
62.83500000,0.00829368,3791,0.00001079,0.00000000,0,0.00000074,10503,10505,4,0.00140023
62.93500000,0.00808986,3766,0.00003588,0.00000000,0,0.00000049,10505,10505,9,0.00217828
63.03500000,0.00796573,3766,0.00003642,0.00000000,0,0.00000055,10505,10514,12,0.00212065
63.13500000,0.00822189,3796,0.00001174,0.00000000,0,0.00000075,10514,10516,7,0.00135067
63.23500000,0.00991492,3772,0.00001218,0.00000000,0,0.00000059,10516,10516,7,0.00148868
63.33500000,0.00713332,3787,0.00000821,0.00000000,0,0.00000064,10516,10517,5,0.00137424
63.43500000,0.00840780,3770,0.00002644,0.00000000,0,0.00000058,10517,10522,11,0.00136171
63.53500000,0.00784982,3740,0.00000997,0.00000000,0,0.00000048,10522,10524,3,0.00140297
